Strategy,Hit@5,Prec@5,Recall@5,NDCG@5,MAP@5,Hit@5_W,Prec@5_W,Recall@5_W,NDCG@5_W,MAP@5_W,Hit@10,Prec@10,Recall@10,NDCG@10,MAP@10,Hit@10_W,Prec@10_W,Recall@10_W,NDCG@10_W,MAP@10_W,Hit@15,Prec@15,Recall@15,NDCG@15,MAP@15,Hit@15_W,Prec@15_W,Recall@15_W,NDCG@15_W,MAP@15_W,Hit@20,Prec@20,Recall@20,NDCG@20,MAP@20,Hit@20_W,Prec@20_W,Recall@20_W,NDCG@20_W,MAP@20_W,MRR,MRR_W,time_sec
Mean Pooling (Baseline),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0369,1.1006
Target-Aware Attention (τ=1.0),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0369,0.655
Recency-Weighted (λ=0.05),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0368,1.1063
Recency-Weighted (λ=0.1),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0367,0.5409
Recency-Weighted (λ=0.2),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0367,0.5737
Recency-Weighted (λ=0.5),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0366,0.5995
Diversity-Aware (α=0.3),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0368,1.2544
Diversity-Aware (α=0.5),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0368,1.3563
Diversity-Aware (α=0.7),0.0026,0.0005,0.0026,0.0012,0.0008,0.0531,0.0106,0.0531,0.0306,0.0229,0.0066,0.0007,0.0066,0.0025,0.0013,0.0973,0.0097,0.0973,0.0446,0.0285,0.0116,0.0008,0.0116,0.0038,0.0017,0.1239,0.0083,0.1239,0.0516,0.0305,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0577,0.0319,0.0049,0.0368,0.5461
"Self-Attention (Learned, 4-head)",0.0027,0.0005,0.0027,0.0013,0.0008,0.0796,0.0159,0.0796,0.044,0.032,0.0066,0.0007,0.0066,0.0025,0.0014,0.0973,0.0097,0.0973,0.0501,0.0347,0.0116,0.0008,0.0116,0.0039,0.0018,0.1327,0.0088,0.1327,0.0597,0.0377,0.015,0.0008,0.015,0.0047,0.0019,0.1504,0.0075,0.1504,0.0638,0.0387,0.0049,0.0431,0.0
