Modality,Hit@5,Prec@5,Recall@5,NDCG@5,MAP@5,Hit@5_W,Prec@5_W,Recall@5_W,NDCG@5_W,MAP@5_W,Hit@10,Prec@10,Recall@10,NDCG@10,MAP@10,Hit@10_W,Prec@10_W,Recall@10_W,NDCG@10_W,MAP@10_W,Hit@15,Prec@15,Recall@15,NDCG@15,MAP@15,Hit@15_W,Prec@15_W,Recall@15_W,NDCG@15_W,MAP@15_W,Hit@20,Prec@20,Recall@20,NDCG@20,MAP@20,Hit@20_W,Prec@20_W,Recall@20_W,NDCG@20_W,MAP@20_W,MRR,MRR_W,factors,regularization,alpha,iterations,time_sec,learning_rate,lambda
Content-Based (Weighted Fusion),0.0034,0.0007,0.0034,0.0016,0.001,0.0796,0.0159,0.0796,0.044,0.032,0.0045,0.0004,0.0045,0.002,0.0012,0.1504,0.015,0.1504,0.0658,0.0404,0.0055,0.0004,0.0055,0.0022,0.0013,0.1681,0.0112,0.1681,0.0706,0.0418,0.0077,0.0004,0.0077,0.0027,0.0014,0.1858,0.0093,0.1858,0.0747,0.0428,0.0026,0.0487,,,,,,,
ALS f=32 reg=0.1 alpha=1,0.0041,0.0008,0.0041,0.0026,0.0021,0.0088,0.0018,0.0088,0.0056,0.0044,0.0069,0.0007,0.0069,0.0036,0.0025,0.0265,0.0027,0.0265,0.0112,0.0067,0.012,0.0008,0.012,0.0049,0.0029,0.0265,0.0018,0.0265,0.0112,0.0067,0.0155,0.0008,0.0155,0.0057,0.0031,0.0531,0.0027,0.0531,0.0175,0.0082,0.0059,0.0099,32.0,0.1,1.0,50.0,6.4,,
ALS f=32 reg=0.1 alpha=5,0.0031,0.0006,0.0031,0.0017,0.0013,0.0177,0.0035,0.0177,0.0088,0.0059,0.0055,0.0005,0.0055,0.0025,0.0016,0.0265,0.0027,0.0265,0.012,0.0074,0.0092,0.0006,0.0092,0.0035,0.0019,0.0265,0.0018,0.0265,0.012,0.0074,0.0124,0.0006,0.0124,0.0042,0.0021,0.0265,0.0013,0.0265,0.012,0.0074,0.0049,0.0096,32.0,0.1,5.0,50.0,8.0,,
ALS f=64 reg=0.1 alpha=1,0.005,0.001,0.005,0.0029,0.0022,0.0177,0.0035,0.0177,0.0088,0.0059,0.0093,0.0009,0.0093,0.0043,0.0028,0.0265,0.0027,0.0265,0.0118,0.0072,0.0143,0.001,0.0143,0.0056,0.0032,0.0265,0.0018,0.0265,0.0118,0.0072,0.0214,0.0011,0.0214,0.0072,0.0036,0.0265,0.0013,0.0265,0.0118,0.0072,0.0061,0.0094,64.0,0.1,1.0,50.0,13.2,,
ALS f=64 reg=0.05 alpha=5,0.0028,0.0006,0.0028,0.0016,0.0013,0.0265,0.0053,0.0265,0.0133,0.0088,0.0049,0.0005,0.0049,0.0024,0.0016,0.0265,0.0027,0.0265,0.0133,0.0088,0.0069,0.0005,0.0069,0.0029,0.0017,0.0265,0.0018,0.0265,0.0133,0.0088,0.0081,0.0004,0.0081,0.0032,0.0018,0.0265,0.0013,0.0265,0.0133,0.0088,0.0045,0.011,64.0,0.05,5.0,50.0,15.7,,
ALS f=64 reg=0.01 alpha=1,0.005,0.001,0.005,0.003,0.0023,0.0265,0.0053,0.0265,0.0123,0.0077,0.0082,0.0008,0.0082,0.004,0.0027,0.0265,0.0027,0.0265,0.0123,0.0077,0.0117,0.0008,0.0117,0.0049,0.003,0.0265,0.0018,0.0265,0.0123,0.0077,0.0146,0.0007,0.0146,0.0056,0.0031,0.0265,0.0013,0.0265,0.0123,0.0077,0.006,0.0099,64.0,0.01,1.0,50.0,13.2,,
ALS f=128 reg=0.1 alpha=1,0.002,0.0004,0.002,0.0015,0.0013,0.0088,0.0018,0.0088,0.0044,0.0029,0.0044,0.0004,0.0044,0.0023,0.0017,0.0265,0.0027,0.0265,0.0098,0.0049,0.0078,0.0005,0.0078,0.0032,0.0019,0.0265,0.0018,0.0265,0.0098,0.0049,0.0112,0.0006,0.0112,0.004,0.0021,0.0354,0.0018,0.0354,0.0119,0.0054,0.0049,0.0076,128.0,0.1,1.0,50.0,48.2,,
ALS f=128 reg=0.05 alpha=5,0.0018,0.0004,0.0018,0.0011,0.0009,0.0265,0.0053,0.0265,0.0123,0.0077,0.0035,0.0003,0.0035,0.0016,0.0011,0.0265,0.0027,0.0265,0.0123,0.0077,0.0045,0.0003,0.0045,0.0019,0.0011,0.0354,0.0024,0.0354,0.0147,0.0084,0.006,0.0003,0.006,0.0022,0.0012,0.0442,0.0022,0.0442,0.0167,0.0089,0.0033,0.0111,128.0,0.05,5.0,50.0,48.0,,
ALS f=128 reg=0.01 alpha=1,0.0058,0.0012,0.0058,0.0035,0.0028,0.0088,0.0018,0.0088,0.0044,0.0029,0.009,0.0009,0.009,0.0046,0.0032,0.0354,0.0035,0.0354,0.0128,0.0063,0.0122,0.0008,0.0122,0.0054,0.0035,0.0354,0.0024,0.0354,0.0128,0.0063,0.0141,0.0007,0.0141,0.0059,0.0036,0.0354,0.0018,0.0354,0.0128,0.0063,0.0064,0.0098,128.0,0.01,1.0,50.0,35.6,,
BPR f=32 lr=0.05 reg=0.01,0.0948,0.019,0.0948,0.0948,0.0948,0.0,0.0,0.0,0.0,0.0,0.0948,0.0095,0.0948,0.0948,0.0948,0.0,0.0,0.0,0.0,0.0,0.0948,0.0063,0.0948,0.0948,0.0948,0.0088,0.0006,0.0088,0.0023,0.0007,0.0948,0.0047,0.0948,0.0948,0.0948,0.0088,0.0004,0.0088,0.0023,0.0007,0.095,0.0028,32.0,0.01,,200.0,2.1,0.05,
